Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,k_consistency,n_flow,curve_rmse,curve_r2,curve_mse
Tego,72.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,87,F2_Tego_72.0_0.5,power_law,1.925071876883622,0.8337274038306097,0.011802976879230397,0.9992077688815258,0.0001393102632116473
Tego,77.0,0.5,97.0,1.5,0.0,1.5,Batch_2,3.347826086810964,0.015228426395784483,88,F2_Tego_77.0_0.5,power_law,32.06261842604091,0.6299193298224409,0.36273188353844105,0.9989556912405817,0.13157441933534517
Tego,76.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.1666666665347223,0.020408163265097874,89,F1_Tego_76.0_0.0,power_law,84.64239791284439,0.5009669437534948,1.1815697459659076,0.9987440666833515,1.3961070645819396
Triton,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,90,F1_Triton_74.0_0.5,power_law,28.971651054214732,0.6332748380249457,0.19653501751881727,0.9996151734052693,0.038626013111121814
Tego,77.0,0.0,,,,,Batch_2,3.347826086810964,,91,B_Tego_77.0_0.0,power_law,134.60150075999903,0.4680975853090654,0.36957979312283556,0.9999501726196726,0.13658922348471791
Triton,69.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,92,F1_Triton_69.0_0.0,power_law,4.656863545782037,0.8140232953168187,0.05094716514435757,0.997794907254416,0.0025956136362464428
Hypermer,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,93,F1_Hypermer_74.0_0.0,power_law,32.49128415515367,0.6095687115107499,0.5131238845696438,0.9980868845300126,0.2632961209158411
Tego,72.0,0.25,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,94,F2_Tego_72.0_0.25,power_law,6.209165018205756,0.7288965484613162,0.26948487592967635,0.9815580053079995,0.07262209835483306
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,95,F1_Tego_74.0_0.5,power_law,49.59808129681265,0.4777451178821482,4.098636938989353,0.9670326943550885,16.79882475764801
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,96,F1_Tego_77.0_0.25,power_law,110.65573923043357,0.4596965340054634,6.599144450235955,0.9816896424113444,43.54870747508
Tego,72.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,97,F1_Tego_72.0_0.0,power_law,26.17114565534041,0.5384904485014071,1.7900277993827542,0.9741670518523962,3.204199522563066
Triton,72.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,98,F1_Triton_72.0_0.0,power_law,33.97316965054169,0.5019036579640145,3.1240908009921267,0.9593457772713705,9.759943332843626
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,99,F1_Tego_69.0_0.5,power_law,3.192446886422715,0.8694171259287666,0.10938681295996612,0.9636464647983014,0.011965474849538612
Tego,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,100,F1_Tego_72.0_0.25,power_law,12.329285940304272,0.7410552261231581,0.06783206447587696,0.9996292726465112,0.004601188971059529
Hypermer,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,101,F1_Hypermer_77.0_0.0,power_law,109.33220020846755,0.4344515584380132,3.5297680022931384,0.9942043641736235,12.459262150012492
Triton,74.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,102,F1_Triton_74.0_0.25,power_law,32.85801595505152,0.6108790707588112,0.37659355724130267,0.9989730158576702,0.1418227073556583
Triton,72.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,103,F1_Triton_72.0_0.5,power_law,10.290896068883104,0.7389954424872573,0.002712866139875694,0.9999991718258391,7.3596426928840475e-06
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,104,F1_Hypermer_77.0_0.25,power_law,67.96467783789095,0.5833390824340642,1.7077558603877907,0.9955632856017627,2.9164300786888435
Hypermer,74.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,105,F1_Hypermer_74.0_0.25,power_law,15.611973472518795,0.7288762955763373,0.1535183446860836,0.9989293313684027,0.023567882155155175
Hypermer,72.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,106,F1_Hypermer_72.0_0.5,power_law,8.699106125024324,0.681144373112761,0.44787290105647504,0.9786904224829088,0.2005901355007431
Triton,69.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,107,F1_Triton_69.0_0.0,power_law,3.8645098410010505,0.7986500987853391,0.03149073526408923,0.9989551255478334,0.0009916664074729527
Tego,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,108,F1_Tego_77.0_0.0,power_law,132.80532726703512,0.46274202596988034,1.7158244082262204,0.9989687718396388,2.9440533998648593
Triton,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,109,F1_Triton_74.0_0.5,power_law,36.681801915097914,0.5628426313953355,1.8759564216105844,0.9839611772021075,3.519212495781989
Hypermer,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,110,F1_Hypermer_74.0_0.5,power_law,21.77723852690277,0.637569290782307,0.7410613011089271,0.9911650522674506,0.5491718520012558
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,111,F1_Triton_69.0_0.5,power_law,106.6610853287109,0.08341423780856363,1.8310252381206022,0.998584765546583,3.352653422634608
Tego,72.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,112,F1_Tego_72.0_0.0,power_law,12.620378217801365,0.6943722490245642,0.5335862660118692,0.9844802555846075,0.2847143032764892
Hypermer,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,113,F1_Hypermer_74.0_0.0,power_law,31.871783622288035,0.6028046677410461,0.9395977801916604,0.9937588730248069,0.8828439885410958
